subscriptionYear,country,institution,agreementType,validity,state,dreLink,subscriptionLevel,agreementLink,languages,Props,internationalLink
2018,Alemania,Katholische Hochschule Mainz,Marco+Intercambio,mayo - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_Katholische_Hochschule_Mainz_Especifico_2018.pdf,Facultad de Ciencias Humanas,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2444&cHash=3397aeaaca14a2a997154a415dd394d7&cvc%5Bbuscar%5D=Katholische%20Hochschule%20Mainz&cvc%5Bsword%5D=Katholische%20Hochschule%20Mainz,Alemán inglés,"Enfoque en ciencias sociales y humanidades
Orientación en educación y trabajo social
Fomento de la ética y la responsabilidad social
Investigación aplicada en áreas de bienestar y cuidado
Programas de formación práctica y profesional
Colaboraciones con organizaciones sociales y comunitarias
Desarrollo en servicios sociales y salud
Participación en proyectos de impacto social
Promoción de valores católicos y formación integral",https://www.kh-mz.de/en/international/international-students/international-exchange-students/
2017,Alemania,Leibniz Institute of Ecological Urban and Regional Development Chair of Spatial Development of Technische Universitat Dresden,Marco+Intercambio,febrero - 2027,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI__Leibniz_Institute_of_Ecological_Urban_and_Regional_Development__Chair_of_spatial_Development_of_Technische_Universitat_Dresden-Marco.pdf,Universidad Nacional de Colombia,,Alemán inglés,"Investigación en desarrollo urbano y regional
Innovación en planificación espacial y territorial
Enfoque en sostenibilidad y medio ambiente
Colaboraciones con instituciones académicas y gubernamentales
Desarrollo de políticas urbanísticas y regionales
Aplicación de tecnologías avanzadas en planificación
Proyectos interdisciplinarios en desarrollo urbano
Participación en estudios sobre impacto ambiental
Fomento de prácticas sostenibles en el diseño urbano",https://tu-dresden.de/kooperation/internationales?set_language=en
2018,Alemania,OTH Regensburg,Marco+Intercambio,febrero - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_OTH_Regensburg_2018_01.pdf,Universidad Nacional de Colombia,,Alemán inglés,"Enfoque en ciencias aplicadas e ingeniería
Innovación en tecnología y gestión
Colaboraciones con la industria
Programas de formación práctica y dual
Investigación aplicada en áreas tecnológicas
Desarrollo sostenible y soluciones tecnológicas avanzadas
Fomento del espíritu emprendedor
Participación en proyectos internacionales
Enfoque en la conexión con la comunidad empresarial local
Participación en actividades culturales y eventos locales
Fomento de la expresión artística y creatividad en el diseño y tecnología
Colaboración con instituciones culturales para proyectos interdisciplinarios
Educación integral que incorpora aspectos culturales y sociales
Desarrollo de proyectos comunitarios en colaboración con organizaciones locales",https://www.oth-regensburg.de/en/international.html
2016,Alemania,Senckenberg Gesellschaft für Naturforschung - SGN,Marco+Intercambio,noviembre - 2026,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2016_Senckenberg_Gesellschaft_fuer_Naturforschung.pdf,Universidad Nacional de Colombia,,Alemán inglés,"Investigación en biodiversidad y ciencias naturales
Innovación en ecología y ciencias ambientales
Colaboraciones internacionales en investigación
Desarrollo de proyectos científicos avanzados
Fomento de la educación científica y la divulgación
Participación en estudios sobre cambio climático y conservación
Colaboración con universidades y centros de investigación
Desarrollo de políticas de conservación y sostenibilidad
Iniciativas culturales relacionadas con la ciencia natural
Participación en exposiciones y eventos científicos
Fomento del interés por la ciencia en la comunidad local
Educación pública a través de museos y centros de visitantes
Desarrollo de proyectos educativos y de sensibilización sobre la biodiversidad",https://www.senckenberg.de/en/
2018,Alemania,Staatliche Lehr-und Versuchsanstalt für Gartenbau Heidelberg,Marco+Intercambio,junio - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2018_STAATLICHE_LEHR-UND_VERSUCHSANSTALT_ESPECIFICO.pdf,Universidad Nacional de Colombia,,Alemán inglés,"Investigación en horticultura y jardinería
Innovación en técnicas de cultivo y diseño de jardines
Colaboraciones con instituciones académicas y agrícolas
Desarrollo de prácticas sostenibles en jardinería
Programas de formación práctica y profesional
Participación en proyectos de investigación aplicada
Fomento del espíritu emprendedor en el sector hortícola
Educación y capacitación en técnicas avanzadas de jardinería
Colaboración con comunidades locales para proyectos de jardinería comunitaria
Desarrollo de iniciativas culturales relacionadas con el diseño de jardines
Participación en eventos y exposiciones de jardinería
Fomento de la creatividad y el arte en el diseño de espacios verdes
Promoción de prácticas de jardinería sostenible y conservación del medio ambiente",https://lvg.landwirtschaft-bw.de/pb/Lde/Startseite/Ueber+uns/Internationale+Beziehungen
2019,Alemania,Technische Universität Dresden (TUD),Intercambio,octubre - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2019_Technische_Universitaet_Dresden.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2132&cHash=a975a40e98561b2aeadd6579ac505321&pointer=19,Alemán inglés,"Investigación en ingeniería y tecnología
Innovación en ciencias aplicadas y tecnología avanzada
Colaboraciones con la industria y empresas
Fuerte orientación internacional
Interdisciplinariedad en proyectos académicos
Desarrollo de tecnologías emergentes
Enfoque en sostenibilidad y medio ambiente
Programas de investigación avanzados
Integración con la comunidad empresarial y tecnológica
Participación en actividades culturales y eventos locales
Fomento de la expresión artística en proyectos interdisciplinarios
Colaboración con instituciones culturales para proyectos educativos
Educación integral que incorpora aspectos culturales y sociales
Desarrollo de proyectos comunitarios en colaboración con organizaciones locales",https://tu-dresden.de/studium/vor-dem-studium/internationales/austauschprogramme?set_language=en
2018,Alemania,Technische Universität München,Intercambio,septiembre - 2023,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2018_Technische_Universitaet_Muenchen.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2646&cHash=efd4fa1ecf47931af2c5ab98d28c1dbf&pointer=8,Alemán inglés,"Investigación en ingeniería y tecnología avanzada
Innovación en ciencias aplicadas y tecnología
Colaboraciones con la industria y empresas
Fuerte orientación internacional
Interdisciplinariedad en proyectos académicos
Desarrollo de tecnologías emergentes
Enfoque en sostenibilidad y medio ambiente
Programas de investigación avanzados
Integración con la comunidad empresarial y tecnológica
Participación en actividades culturales y eventos locales
Fomento de la expresión artística en el ámbito académico
Colaboración con instituciones culturales para proyectos educativos y de investigación
Educación integral que incluye aspectos culturales y sociales
Desarrollo de proyectos comunitarios y participación en iniciativas locales",http://www.tum.de/en/studies/international-students/
2018,Alemania,Universität Trier,Marco+Intercambio,abril - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/2018_CI_Trier_University.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2586&cHash=1a310d76df90babfdbecab790c63fcdc&pointer=13,Alemán inglés,"Investigación en ciencias sociales, humanidades y ciencias naturales
Innovación en estudios interdisciplinarios y aplicaciones prácticas
Colaboraciones internacionales y nacionales
Desarrollo de programas de investigación avanzada
Participación activa en la comunidad local
Fomento de la cultura y el arte a través de proyectos académicos
Integración de aspectos culturales en el currículo académico
Participación en eventos culturales y actividades comunitarias
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Colaboración con instituciones culturales para exposiciones y eventos",https://www.uni-trier.de/index.php?id=64148&L=2
2019,Argentina,Universidad Nacional del Litoral,Intercambio,julio - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/Especifico_Litoral.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2469&cHash=b7cd93a8f6cb1b280bc1603d4f872491&cvc%5Bbuscar%5D=Universidad%20Nacional%20del%20Litoral&cvc%5Bsword%5D=Universidad%20Nacional%20del%20Litoral,Español,"Investigación en ciencias naturales, sociales, e ingeniería
Innovación en tecnología, biotecnología y ciencias aplicadas
Colaboraciones nacionales e internacionales
Desarrollo de programas de formación profesional y técnica
Participación activa en la comunidad local y regional
Fomento de la cultura y el arte a través de actividades académicas y eventos
Integración de aspectos culturales y sociales en el currículo académico
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Participación en exposiciones culturales y eventos artísticos locales
Colaboración con instituciones culturales y sociales para proyectos educativos y de investigación
Promoción de la identidad regional y el patrimonio cultural a través de la educación y la investigación",https://www.unl.edu.ar/internacionalizacion/
2018,Alemania,Universität Paderborn,Marco+Intercambio,Indefinido,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_PADERBORN_UNIVERSITY_2018.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2599&cHash=0d98f681654fbc08410e9eaa7892d620&pointer=12,Alemán inglés,"Investigación en ciencias aplicadas y tecnología
Innovación en ciencias sociales y humanidades
Colaboraciones internacionales y con la industria
Desarrollo de soluciones tecnológicas y científicas avanzadas
Fomento de la educación interdisciplinaria
Participación activa en la comunidad local
Desarrollo de proyectos culturales y artísticos
Integración de aspectos culturales en el currículo académico
Participación en eventos culturales y actividades comunitarias
Fomento de la expresión artística y creatividad en el ámbito académico
Colaboración con instituciones culturales y comunitarias para proyectos educativos
Educación integral que incluye aspectos culturales y sociales",https://www.uni-paderborn.de/en/studies/international-office/austauschstudierende-incoming/
2017,Argentina,Universidad Nacional del Nordeste,Marco+Intercambio,octubre - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_UNIVERSIDAD_NACIONAL_DEL_NORDESTE_2017.pdf,Universidad Nacional de Colombia,,Español,"Investigación en ciencias sociales, naturales y humanas
Innovación en tecnología, agricultura y desarrollo regional
Desarrollo de programas de formación profesional y técnica
Colaboraciones nacionales e internacionales
Participación activa en la comunidad local y regional
Fomento de la cultura y el arte a través de actividades académicas y eventos
Integración de aspectos culturales y sociales en el currículo académico
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Participación en exposiciones culturales y eventos artísticos locales
Colaboración con instituciones culturales y sociales para proyectos educativos y de investigación
Promoción de la identidad cultural y el patrimonio regional a través de la educación y la investigación",http://relint.unne.edu.ar/index.php?r=site%2Fver&id=63&campo=idarticulo
2021,Alemania,Universität Regensburg,Marco+Intercambio,diciembre - 2031,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/ConvenioFirmado611.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2342&cHash=e78afa6961f16fd91e6730de238c8ef7&listtype=1&filtro=Internacionales&cvc%5Bbuscar%5D=Universit%C3%A4t%20Regensburg&cvc%5Bsword%5D=Universit%C3%A4t%20Regensburg,Alemán inglés,"Investigación en ciencias naturales, sociales y humanidades
Innovación en tecnología y aplicaciones prácticas
Colaboraciones nacionales e internacionales
Desarrollo de soluciones interdisciplinarias y tecnológicas
Participación activa en la comunidad local
Fomento de la cultura y el arte a través de proyectos académicos
Integración de aspectos culturales en el currículo académico
Participación en eventos culturales y actividades comunitarias
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Colaboración con instituciones culturales para eventos y exposiciones",https://www.uni-regensburg.de/ur-international/exchange-students/index.html
2019,Alemania,Universität Siegen,Marco+Intercambio,febrero - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/Siegen_17.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2338&cHash=ba165b33df59a8d47c857612eeb46452&listtype=1&filtro=Internacionales&cvc%5Bbuscar%5D=Universit%C3%A4t%20Siegen&cvc%5Bsword%5D=Universit%C3%A4t%20Siegen,Alemán inglés,"Investigación interdisciplinaria en ciencias naturales, sociales y humanidades
Innovación en tecnología, ingeniería y ciencias aplicadas
Colaboraciones nacionales e internacionales
Desarrollo de proyectos de investigación aplicada
Participación activa en la comunidad local y regional
Fomento de la cultura y el arte a través de iniciativas académicas
Integración de aspectos culturales en el currículo académico
Participación en eventos culturales y actividades comunitarias
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Colaboración con instituciones culturales para eventos y exposiciones
Fomento del diálogo interdisciplinario y la cooperación entre diferentes campos del conocimiento",https://www.uni-siegen.de/isa/
2018,Bélgica,Université de Mons,Marco+Intercambio,agosto - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2018_L___UNIVERSITE_DE_MONS_MARCO.pdf,Universidad Nacional de Colombia,,Alemán,"Investigación en ciencias aplicadas, sociales y humanas
Innovación en tecnología, ingeniería y artes
Desarrollo de programas de formación profesional y técnica
Colaboraciones nacionales e internacionales
Participación activa en la comunidad local y regional
Fomento de la cultura y el arte a través de actividades académicas y eventos
Integración de aspectos culturales y sociales en el currículo académico
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Participación en exposiciones culturales y eventos artísticos
Colaboración con instituciones culturales para proyectos educativos y de investigación
Promoción de la identidad regional y el patrimonio cultural a través de la educación y la investigación
Iniciativas en sostenibilidad y desarrollo comunitario",https://web.umons.ac.be/en/international/
2019,Alemania,Universität ULM,Marco+Intercambio,junio - 2024,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2019_Universitaet_ulm.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2443&cHash=fac8ba391b22e485057bbf86b78fd3be&cvc%5Bbuscar%5D=Universit%C3%A4t%20ULM&cvc%5Bsword%5D=Universit%C3%A4t%20ULM,Alemán inglés,"Investigación en ciencias naturales, ingeniería y medicina
Innovación en tecnología de la información y ciencias aplicadas
Colaboraciones internacionales y con la industria
Desarrollo de proyectos de investigación avanzada y aplicada
Participación activa en la comunidad local y regional
Fomento de la cultura y el arte a través de iniciativas académicas
Integración de aspectos culturales en el currículo académico
Participación en eventos culturales y actividades comunitarias
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Colaboración con instituciones culturales para eventos y exposiciones",https://www.uni-ulm.de/en/io/
2017,Brasil,Universidade Católica Dom Bosco,Marco+Intercambio,diciembre - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/2017_CI_Universidade_Catolica_Dom_Bosco.pdf,Universidad Nacional de Colombia,,Portugués,"Investigación en ciencias sociales, humanas, naturales y tecnología
Innovación en educación y desarrollo regional
Desarrollo de programas de formación profesional y técnica
Colaboraciones nacionales e internacionales
Participación activa en la comunidad local y regional
Fomento de la cultura y el arte a través de actividades académicas y eventos
Integración de aspectos culturales y sociales en el currículo académico
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Participación en exposiciones culturales y eventos artísticos
Colaboración con instituciones culturales para proyectos educativos y de investigación
Promoción de la identidad cultural y el patrimonio a través de la educación y la investigación
Iniciativas en sostenibilidad y desarrollo comunitario",https://site.ucdb.br/cooperacao-internacional/7/apresentacao/2788/?o=1
2019,Brasil,Universidade Federal Fluminense (UFF),Intercambio,diciembre - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_2019_Universidade_Federal_Fluminense.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2612&cHash=0297be5758bbc3a0fc30052bbcce96ed&pointer=12,Portugués,"Investigación en ciencias sociales, humanas, naturales, ingeniería y tecnología
Innovación en áreas como salud, tecnología y desarrollo urbano
Desarrollo de programas de formación profesional y técnica
Colaboraciones nacionales e internacionales en investigación y educación
Participación activa en la comunidad local y regional
Fomento de la cultura y el arte a través de actividades académicas, exposiciones y eventos
Integración de aspectos culturales y sociales en el currículo académico
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales, sociales y ambientales
Participación en exposiciones culturales y eventos artísticos
Colaboración con instituciones culturales para proyectos educativos y de investigación
Promoción de la identidad cultural y el patrimonio a través de la educación y la investigación
Iniciativas en sostenibilidad y desarrollo comunitario",http://www.uff.br/?q=grupo/internacional
2019,Canadá,University of Saskatchewan,Intercambio,febrero - 2024,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/01.02.2019_UNC_Student_Mobility_Saskatchewan.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/es/convocatorias.html?cvc%5BshowUid%5D=2436&cHash=2d6396e4a085156d51b42924d55dd207&cvc%5Bbuscar%5D=University%20of%20Saskatchewan&cvc%5Bsword%5D=University%20of%20Saskatchewan,Inglés Francés,"Investigación en ciencias sociales, naturales, ingenierías, y salud
Innovación en áreas como biomedicina, tecnología, agricultura y sostenibilidad
Desarrollo de programas de formación profesional y técnica
Colaboraciones nacionales e internacionales en investigación y educación
Participación activa en la comunidad local, regional y global
Fomento de la cultura y el arte a través de actividades académicas, exposiciones y eventos
Integración de aspectos culturales y sociales en el currículo académico
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales, sociales y ambientales
Participación en exposiciones culturales y eventos artísticos locales e internacionales
Colaboración con instituciones culturales para proyectos educativos y de investigación
Promoción de la identidad cultural y el patrimonio a través de la educación y la investigación
Iniciativas en sostenibilidad y desarrollo comunitario
Actividades de extensión que involucran a la comunidad en proyectos educativos y culturales",https://students.usask.ca/international/exchange-students.php
2018,Colombia,Tasty Concept SAS,Prácticas y pasantías,diciembre - 2023,No Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CN_2018_Tasty_Concepts__SAS.pdf,Facultad de Ciencias Humanas,,Español,,
2016,Argentina,Universidad Nacional de Córdoba,Marco+Intercambio,diciembre - 2026,Vigente,http://www.dre.unal.edu.co/uploads/tx_unalori/CI_Universidad_Nacional_de_Cordoba_2016.pdf,Universidad Nacional de Colombia,http://www.dre.unal.edu.co/convocatorias.html?cvc%5BshowUid%5D=2282&cHash=2c236de4ea732d00b043efe7d3af7e9d&listtype=1&filtro=Internacionales&cvc%5Bbuscar%5D=Universidad%20Nacional%20de%20C%C3%B3rdoba&cvc%5Bsword%5D=Universidad%20Nacional%20de%20C%C3%B3rdoba,Español,"Investigación en ciencias naturales, sociales y humanidades
Innovación en tecnología, ciencias aplicadas y artes
Fomento de la investigación interdisciplinaria y aplicada
Colaboraciones nacionales e internacionales
Desarrollo de programas de educación superior y técnica
Participación activa en la comunidad local y regional
Fomento de la cultura y el arte a través de actividades académicas y eventos
Integración de aspectos culturales y sociales en el currículo académico
Desarrollo de proyectos artísticos y creativos en colaboración con la comunidad
Educación integral que aborda temas culturales y sociales
Participación en exposiciones culturales y eventos artísticos
Colaboración con instituciones culturales y sociales para proyectos educativos y de investigación",https://www.unc.edu.ar/internacionales/estudiantes-internacionales
